Price,Close,High,Low,Open,Volume
Ticker,IWDA.AS,IWDA.AS,IWDA.AS,IWDA.AS,IWDA.AS
Date,,,,,
2015-01-02,34.25,34.53499984741211,34.18000030517578,34.494998931884766,91741
2015-01-05,33.875,34.400001525878906,33.85499954223633,34.25,51590
2015-01-06,33.54999923706055,34.0099983215332,33.54999923706055,33.8849983215332,22867
2015-01-07,34.04499816894531,34.150001525878906,33.7400016784668,33.7400016784668,79245
2015-01-08,34.77000045776367,34.81999969482422,34.34000015258789,34.345001220703125,106445
2015-01-09,34.415000915527344,34.900001525878906,34.32500076293945,34.744998931884766,350086
2015-01-12,34.34000015258789,34.70500183105469,34.099998474121094,34.42499923706055,75094
2015-01-13,34.76499938964844,34.90999984741211,34.2599983215332,34.2599983215332,152100
2015-01-14,34.0099983215332,34.4900016784668,33.85499954223633,34.255001068115234,60453
2015-01-15,34.80500030517578,35.0,34.20000076293945,34.529998779296875,72846
2015-01-16,35.064998626708984,35.17499923706055,34.369998931884766,34.564998626708984,102057
2015-01-19,35.0099983215332,35.15999984741211,34.93000030517578,35.1150016784668,139312
2015-01-20,35.165000915527344,35.415000915527344,35.099998474121094,35.31999969482422,120109
2015-01-21,35.439998626708984,35.439998626708984,34.97999954223633,35.369998931884766,89248
2015-01-22,36.10499954223633,36.20000076293945,35.349998474121094,35.5,103907
2015-01-23,36.71500015258789,37.15999984741211,36.435001373291016,36.435001373291016,41096
2015-01-26,36.720001220703125,36.810001373291016,36.599998474121094,36.70500183105469,74914
2015-01-27,36.224998474121094,36.98500061035156,35.9900016784668,36.98500061035156,280893
2015-01-28,36.35499954223633,36.654998779296875,36.25,36.58000183105469,189262
2015-01-29,36.01499938964844,36.17499923706055,35.79999923706055,36.17499923706055,93522
2015-01-30,36.11000061035156,36.224998474121094,35.935001373291016,36.224998474121094,112404
2015-02-02,36.064998626708984,36.064998626708984,35.650001525878906,35.9900016784668,47839
2015-02-03,36.08000183105469,36.46500015258789,36.08000183105469,36.2400016784668,300567
2015-02-04,36.5,36.5,36.255001068115234,36.29999923706055,63082
2015-02-05,36.64500045776367,36.64500045776367,36.36000061035156,36.39500045776367,40059
2015-02-06,36.974998474121094,37.04499816894531,36.53499984741211,36.6150016784668,49837
2015-02-09,36.73500061035156,36.78499984741211,36.5099983215332,36.654998779296875,56191
2015-02-10,36.849998474121094,36.970001220703125,36.654998779296875,36.724998474121094,184883
2015-02-11,36.95000076293945,37.005001068115234,36.85499954223633,36.92499923706055,213858
2015-02-12,37.005001068115234,37.130001068115234,36.849998474121094,36.939998626708984,138115
2015-02-13,37.23500061035156,37.27000045776367,37.04999923706055,37.095001220703125,35203
2015-02-16,37.29499816894531,37.310001373291016,37.16999816894531,37.21500015258789,21526
2015-02-17,37.314998626708984,37.38999938964844,37.154998779296875,37.38999938964844,189227
2015-02-18,37.54999923706055,37.54999923706055,37.404998779296875,37.470001220703125,545073
2015-02-19,37.55500030517578,37.56999969482422,37.19499969482422,37.34000015258789,130578
2015-02-20,37.60499954223633,37.77000045776367,37.55500030517578,37.625,186517
2015-02-23,37.84000015258789,37.869998931884766,37.7599983215332,37.814998626708984,50242
2015-02-24,38.029998779296875,38.04499816894531,37.869998931884766,37.939998626708984,52462
2015-02-25,37.959999084472656,37.974998474121094,37.869998931884766,37.95500183105469,118583
2015-02-26,38.42499923706055,38.43000030517578,37.98500061035156,38.005001068115234,197617
2015-02-27,38.39500045776367,38.5,38.27000045776367,38.439998626708984,44263
2015-03-02,38.51499938964844,38.51499938964844,38.244998931884766,38.5099983215332,154101
2015-03-03,38.22999954223633,38.599998474121094,38.22999954223633,38.54499816894531,167148
2015-03-04,38.56999969482422,38.56999969482422,38.30500030517578,38.36000061035156,64587
2015-03-05,38.86000061035156,38.93000030517578,38.599998474121094,38.709999084472656,66135
2015-03-06,39.03499984741211,39.369998931884766,38.89500045776367,38.92499923706055,193340
2015-03-09,38.94499969482422,39.0,38.70000076293945,38.814998626708984,614816
2015-03-10,38.82500076293945,39.125,38.76499938964844,39.04499816894531,237814
2015-03-11,39.345001220703125,39.45000076293945,38.95500183105469,38.95500183105469,54376
2015-03-12,39.54499816894531,39.564998626708984,39.25,39.314998626708984,200943
2015-03-13,39.61000061035156,39.779998779296875,39.540000915527344,39.650001525878906,152199
2015-03-16,39.83000183105469,39.92499923706055,39.654998779296875,39.709999084472656,71167
2015-03-17,39.709999084472656,39.935001373291016,39.595001220703125,39.900001525878906,55750
2015-03-18,39.650001525878906,39.8650016784668,39.625,39.79499816894531,79600
2015-03-19,39.95500183105469,40.20500183105469,39.86000061035156,40.029998779296875,99389
2015-03-20,39.845001220703125,40.19499969482422,39.76499938964844,40.19499969482422,85831
2015-03-23,39.57500076293945,40.099998474121094,39.529998779296875,40.099998474121094,57506
2015-03-24,39.58000183105469,39.720001220703125,39.314998626708984,39.3849983215332,56550
2015-03-25,38.939998626708984,39.45500183105469,38.939998626708984,39.45500183105469,114288
2015-03-26,38.86000061035156,38.86000061035156,38.21500015258789,38.584999084472656,79290
2015-03-27,38.845001220703125,39.244998931884766,38.79999923706055,38.98500061035156,576053
2015-03-30,39.494998931884766,39.51499938964844,39.21500015258789,39.44499969482422,106941
2015-03-31,39.560001373291016,39.66999816894531,39.34000015258789,39.4900016784668,27953
2015-04-01,39.244998931884766,39.51499938964844,39.09000015258789,39.09000015258789,102756
2015-04-02,39.16999816894531,39.30500030517578,39.040000915527344,39.30500030517578,41237
2015-04-07,39.724998474121094,39.73500061035156,39.369998931884766,39.54999923706055,81374
2015-04-08,39.79999923706055,39.849998474121094,39.53499984741211,39.67499923706055,62456
2015-04-09,40.2400016784668,40.255001068115234,39.900001525878906,39.91999816894531,447481
2015-04-10,40.81999969482422,40.81999969482422,40.560001373291016,40.57500076293945,91631
2015-04-13,40.900001525878906,41.01499938964844,40.70500183105469,40.790000915527344,197338
2015-04-14,40.525001525878906,41.0099983215332,40.32500076293945,41.0099983215332,193399
2015-04-15,40.91999816894531,41.040000915527344,40.6349983215332,40.654998779296875,47594
2015-04-16,40.53499984741211,40.90999984741211,40.380001068115234,40.84000015258789,34599
2015-04-17,39.880001068115234,40.380001068115234,39.80500030517578,40.380001068115234,2152994
2015-04-20,40.30500030517578,40.310001373291016,40.05500030517578,40.05500030517578,57161
2015-04-21,40.369998931884766,40.83000183105469,40.369998931884766,40.720001220703125,91637
2015-04-22,40.470001220703125,40.54499816894531,40.09000015258789,40.459999084472656,144446
2015-04-23,40.34000015258789,40.720001220703125,40.25,40.720001220703125,49599
2015-04-24,40.3650016784668,40.46500015258789,40.220001220703125,40.34000015258789,105343
2015-04-27,40.44499969482422,40.61000061035156,40.275001525878906,40.46500015258789,90320
2015-04-28,39.970001220703125,40.3650016784668,39.75,40.3650016784668,231017
2015-04-29,39.185001373291016,40.084999084472656,39.150001525878906,40.084999084472656,137556
2015-04-30,38.8849983215332,39.20500183105469,38.689998626708984,39.20500183105469,242076
2015-05-04,39.20000076293945,39.29999923706055,38.915000915527344,39.02000045776367,4144286
2015-05-05,38.625,39.415000915527344,38.625,39.345001220703125,52386
2015-05-06,38.1150016784668,38.70000076293945,37.94499969482422,38.599998474121094,333223
2015-05-07,38.27000045776367,38.345001220703125,37.564998626708984,37.93000030517578,78706
2015-05-08,39.084999084472656,39.1349983215332,38.57500076293945,38.79999923706055,1042405
2015-05-11,39.21500015258789,39.28499984741211,39.064998626708984,39.064998626708984,372072
2015-05-12,38.744998931884766,38.959999084472656,38.415000915527344,38.959999084472656,106925
2015-05-13,38.46500015258789,39.07500076293945,38.40999984741211,38.814998626708984,167805
2015-05-14,38.720001220703125,38.720001220703125,38.15999984741211,38.334999084472656,88389
2015-05-15,38.540000915527344,38.959999084472656,38.505001068115234,38.744998931884766,108541
2015-05-18,38.875,38.88999938964844,38.540000915527344,38.560001373291016,67199
2015-05-19,39.625,39.665000915527344,39.34000015258789,39.34000015258789,71701
2015-05-20,39.76499938964844,39.78499984741211,39.57500076293945,39.75,265821
2015-05-21,39.810001373291016,39.869998931884766,39.470001220703125,39.70500183105469,70838
2015-05-22,39.98500061035156,40.099998474121094,39.58000183105469,39.775001525878906,52382
2015-05-25,40.154998779296875,40.279998779296875,40.0,40.04499816894531,22598
2015-05-26,40.005001068115234,40.400001525878906,39.89500045776367,40.34000015258789,84852
2015-05-27,40.22999954223633,40.310001373291016,39.900001525878906,39.9900016784668,91460
2015-05-28,40.11000061035156,40.25,39.97999954223633,40.15999984741211,54055
2015-05-29,39.54999923706055,40.06999969482422,39.54999923706055,40.064998626708984,83281
2015-06-01,39.79499816894531,40.02000045776367,39.654998779296875,39.849998474121094,134942
2015-06-02,39.130001068115234,39.744998931884766,38.92499923706055,39.744998931884766,153653
2015-06-03,38.92499923706055,39.404998779296875,38.900001525878906,39.20000076293945,88574
2015-06-04,38.55500030517578,38.8650016784668,38.29999923706055,38.814998626708984,484815
2015-06-05,38.744998931884766,38.970001220703125,38.404998779296875,38.5099983215332,80699
2015-06-08,38.275001525878906,38.71500015258789,38.275001525878906,38.625,903662
2015-06-09,38.02000045776367,38.10499954223633,37.790000915527344,37.9900016784668,164850
2015-06-10,38.439998626708984,38.439998626708984,37.79999923706055,37.974998474121094,582930
2015-06-11,38.720001220703125,38.89500045776367,38.4900016784668,38.5099983215332,296953
2015-06-12,38.40999984741211,38.915000915527344,38.275001525878906,38.685001373291016,90116
2015-06-15,38.150001525878906,38.35499954223633,38.084999084472656,38.35499954223633,118201
2015-06-16,38.31999969482422,38.349998474121094,37.79999923706055,37.90999984741211,400527
2015-06-17,38.28499984741211,38.459999084472656,38.22999954223633,38.369998931884766,165446
2015-06-18,38.244998931884766,38.244998931884766,37.75,38.040000915527344,300040
2015-06-19,38.415000915527344,38.66999816894531,38.36000061035156,38.45000076293945,501374
2015-06-22,38.685001373291016,38.849998474121094,38.529998779296875,38.57500076293945,486000
2015-06-23,39.279998779296875,39.48500061035156,39.09000015258789,39.119998931884766,387986
2015-06-24,39.189998626708984,39.34000015258789,39.099998474121094,39.334999084472656,132321
2015-06-25,39.08000183105469,39.27000045776367,38.93000030517578,39.0099983215332,117809
2015-06-26,39.040000915527344,39.125,38.814998626708984,38.900001525878906,315202
2015-06-29,38.255001068115234,38.75,38.255001068115234,38.5,70227
2015-06-30,38.119998931884766,38.35499954223633,38.029998779296875,38.189998626708984,80450
2015-07-01,38.6150016784668,38.77000045776367,38.380001068115234,38.380001068115234,104283
2015-07-02,38.52000045776367,38.79999923706055,38.5,38.70000076293945,115932
2015-07-03,38.42499923706055,38.55500030517578,38.400001525878906,38.55500030517578,327705
2015-07-06,38.32500076293945,38.494998931884766,38.20000076293945,38.22999954223633,128809
2015-07-07,38.099998474121094,38.779998779296875,38.099998474121094,38.630001068115234,440735
2015-07-08,37.810001373291016,38.185001373291016,37.75,38.029998779296875,156366
2015-07-09,38.2400016784668,38.3849983215332,37.8849983215332,37.8849983215332,287569
2015-07-10,38.314998626708984,38.3849983215332,38.125,38.3849983215332,714898
2015-07-13,39.119998931884766,39.150001525878906,38.47999954223633,38.5099983215332,423432
2015-07-14,39.3650016784668,39.415000915527344,39.060001373291016,39.279998779296875,863861
2015-07-15,39.59000015258789,39.65999984741211,39.334999084472656,39.48500061035156,528771
2015-07-16,40.04999923706055,40.189998626708984,39.75,39.75,249154
2015-07-17,40.165000915527344,40.20000076293945,40.025001525878906,40.099998474121094,86516
2015-07-20,40.2599983215332,40.375,40.165000915527344,40.290000915527344,141554
2015-07-21,39.849998474121094,40.38999938964844,39.790000915527344,40.38999938964844,383454
2015-07-22,39.689998626708984,39.779998779296875,39.57500076293945,39.63999938964844,213134
2015-07-23,39.415000915527344,39.775001525878906,39.3849983215332,39.775001525878906,315858
2015-07-24,39.119998931884766,39.56999969482422,39.07500076293945,39.34000015258789,159321
2015-07-27,38.209999084472656,38.84000015258789,38.16999816894531,38.84000015258789,159225
2015-07-28,38.63999938964844,38.75,38.400001525878906,38.57500076293945,133851
2015-07-29,39.07500076293945,39.125,38.7599983215332,38.8849983215332,138644
2015-07-30,39.40999984741211,39.415000915527344,39.20000076293945,39.375,317902
2015-07-31,39.275001525878906,39.564998626708984,39.0099983215332,39.459999084472656,205131
2015-08-03,39.43000030517578,39.4900016784668,39.275001525878906,39.349998474121094,69658
2015-08-04,39.35499954223633,39.400001525878906,39.19499969482422,39.34000015258789,65183
2015-08-05,39.915000915527344,39.96500015258789,39.619998931884766,39.619998931884766,41257
2015-08-06,39.345001220703125,39.724998474121094,39.345001220703125,39.59000015258789,192395
2015-08-07,39.01499938964844,39.53499984741211,39.01499938964844,39.31999969482422,55388
2015-08-10,39.39500045776367,39.45500183105469,39.029998779296875,39.224998474121094,35897
2015-08-11,38.709999084472656,39.334999084472656,38.709999084472656,39.334999084472656,72313
2015-08-12,37.78499984741211,38.375,37.70000076293945,38.375,81887
2015-08-13,38.345001220703125,38.68000030517578,38.28499984741211,38.60499954223633,68663
2015-08-14,38.41999816894531,38.474998474121094,38.119998931884766,38.3849983215332,139777
2015-08-17,38.66999816894531,38.790000915527344,38.29999923706055,38.720001220703125,143181
2015-08-18,38.814998626708984,38.89500045776367,38.564998626708984,38.720001220703125,340903
2015-08-19,38.17499923706055,38.654998779296875,38.17499923706055,38.64500045776367,115331
2015-08-20,37.345001220703125,38.0,37.34000015258789,37.9900016784668,121103
2015-08-21,35.875,36.90999984741211,35.875,36.650001525878906,457099
2015-08-24,33.63999938964844,34.66999816894531,32.08000183105469,34.58000183105469,445437
2015-08-25,34.939998626708984,35.099998474121094,33.90999984741211,33.9900016784668,818590
2015-08-26,34.209999084472656,34.94499969482422,33.875,34.095001220703125,446396
2015-08-27,36.0,36.125,35.31999969482422,35.40999984741211,689723
2015-08-28,36.38999938964844,36.38999938964844,35.78499984741211,36.119998931884766,142950
2015-08-31,36.099998474121094,36.1150016784668,35.79999923706055,36.099998474121094,844682
2015-09-01,35.08000183105469,35.43000030517578,34.79999923706055,35.334999084472656,576056
2015-09-02,35.04499816894531,35.33000183105469,34.810001373291016,35.10499954223633,801997
2015-09-03,36.099998474121094,36.2599983215332,35.400001525878906,35.60499954223633,174003
2015-09-04,35.23500061035156,35.564998626708984,35.09000015258789,35.564998626708984,116878
2015-09-07,35.310001373291016,35.595001220703125,35.25,35.595001220703125,76307
2015-09-08,35.60499954223633,35.935001373291016,35.44499969482422,35.44499969482422,213037
2015-09-09,36.119998931884766,36.5,36.095001220703125,36.40999984741211,144911
2015-09-10,35.40999984741211,36.04499816894531,35.29999923706055,35.650001525878906,317424
2015-09-11,35.084999084472656,35.790000915527344,35.084999084472656,35.400001525878906,167779
2015-09-14,35.185001373291016,35.46500015258789,35.125,35.185001373291016,49182
2015-09-15,35.5099983215332,35.584999084472656,35.060001373291016,35.28499984741211,108536
2015-09-16,35.915000915527344,35.994998931884766,35.75,35.82500076293945,91787
2015-09-17,35.939998626708984,36.029998779296875,35.83000183105469,36.029998779296875,107502
2015-09-18,35.28499984741211,35.58000183105469,34.974998474121094,35.564998626708984,154881
2015-09-21,35.790000915527344,35.93000030517578,35.220001220703125,35.26499938964844,86520
2015-09-22,35.06999969482422,35.779998779296875,35.06999969482422,35.779998779296875,198601
2015-09-23,35.07500076293945,35.435001373291016,34.97999954223633,35.19499969482422,742134
2015-09-24,34.314998626708984,35.13999938964844,34.19499969482422,34.900001525878906,184215
2015-09-25,35.220001220703125,35.540000915527344,35.060001373291016,35.060001373291016,77446
2015-09-28,34.30500030517578,35.16999816894531,34.30500030517578,35.165000915527344,65810
2015-09-29,33.96500015258789,34.27000045776367,33.66999816894531,33.775001525878906,175296
2015-09-30,34.84000015258789,34.84000015258789,34.349998474121094,34.435001373291016,78830
2015-10-01,34.709999084472656,35.349998474121094,34.685001373291016,35.349998474121094,65086
2015-10-02,34.654998779296875,35.27000045776367,34.130001068115234,35.10499954223633,90895
2015-10-05,35.8849983215332,35.89500045776367,35.244998931884766,35.459999084472656,64742
2015-10-06,35.88999938964844,36.11000061035156,35.779998779296875,35.970001220703125,119328
2015-10-07,35.98500061035156,36.41999816894531,35.98500061035156,36.05500030517578,134688
2015-10-08,36.130001068115234,36.185001373291016,35.84000015258789,35.994998931884766,52869
2015-10-09,36.255001068115234,36.505001068115234,36.18000030517578,36.505001068115234,92622
2015-10-12,36.185001373291016,36.314998626708984,36.07500076293945,36.310001373291016,76192
2015-10-13,36.064998626708984,36.165000915527344,35.79499816894531,36.165000915527344,179154
2015-10-14,35.51499938964844,35.834999084472656,35.505001068115234,35.65999984741211,219093
2015-10-15,35.93000030517578,36.06999969482422,35.67499923706055,35.71500015258789,163933
2015-10-16,36.400001525878906,36.4900016784668,36.2400016784668,36.2400016784668,266560
2015-10-19,36.48500061035156,36.584999084472656,36.34000015258789,36.404998779296875,441950
2015-10-20,36.3849983215332,36.540000915527344,36.185001373291016,36.48500061035156,145744
2015-10-21,36.43000030517578,36.53499984741211,36.2400016784668,36.375,219021
2015-10-22,37.26499938964844,37.279998779296875,36.2599983215332,36.28499984741211,124747
2015-10-23,38.084999084472656,38.20500183105469,37.56999969482422,37.56999969482422,280319
2015-10-26,38.0099983215332,38.209999084472656,37.900001525878906,38.040000915527344,117257
2015-10-27,37.72999954223633,37.92499923706055,37.709999084472656,37.81999969482422,69243
2015-10-28,38.04999923706055,38.04999923706055,37.75,37.834999084472656,31279
2015-10-29,38.31999969482422,38.46500015258789,38.154998779296875,38.39500045776367,48682
2015-10-30,38.150001525878906,38.3650016784668,37.93000030517578,38.345001220703125,114511
2015-11-02,38.209999084472656,38.22999954223633,37.755001068115234,37.88999938964844,192958
2015-11-03,38.630001068115234,38.650001525878906,38.310001373291016,38.310001373291016,99893
2015-11-04,38.875,39.06999969482422,38.77000045776367,38.79499816894531,354771
2015-11-05,38.744998931884766,38.994998931884766,38.67499923706055,38.994998931884766,49026
2015-11-06,38.994998931884766,39.33000183105469,38.650001525878906,38.75,87935
2015-11-09,38.60499954223633,39.060001373291016,38.57500076293945,39.05500030517578,50846
2015-11-10,38.8650016784668,38.935001373291016,38.630001068115234,38.76499938964844,103918
2015-11-11,38.89500045776367,39.17499923706055,38.81999969482422,38.845001220703125,75767
2015-11-12,38.40999984741211,39.03499984741211,38.32500076293945,38.85499954223633,350521
2015-11-13,38.06999969482422,38.32500076293945,37.915000915527344,38.21500015258789,108726
2015-11-16,38.11000061035156,38.21500015258789,37.849998474121094,37.8650016784668,521600
2015-11-17,39.064998626708984,39.064998626708984,38.69499969482422,38.69499969482422,284208
2015-11-18,39.060001373291016,39.060001373291016,38.63999938964844,38.720001220703125,153559
2015-11-19,39.064998626708984,39.40999984741211,39.04999923706055,39.279998779296875,148584
2015-11-20,39.459999084472656,39.5,39.20000076293945,39.290000915527344,77491
2015-11-23,39.57500076293945,39.6349983215332,39.33000183105469,39.6349983215332,281120
2015-11-24,39.189998626708984,39.310001373291016,38.904998779296875,39.30500030517578,144143
2015-11-25,39.525001525878906,39.685001373291016,39.14500045776367,39.20500183105469,222967
2015-11-26,39.73500061035156,39.78499984741211,39.599998474121094,39.599998474121094,103614
2015-11-27,39.6150016784668,39.709999084472656,39.43000030517578,39.51499938964844,77517
2015-11-30,39.650001525878906,39.779998779296875,39.4900016784668,39.58000183105469,205926
2015-12-01,39.630001068115234,39.79999923706055,39.54999923706055,39.775001525878906,145364
